ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2024-08-23 13:00:00+00:00,34,35,620770389,1.55,1.55,1.55,1.55,1,MDY   250117P00400000
2024-08-23 13:00:00+00:00,34,37,637536687,27.4,27.4,27.4,27.4,1,MDY   241220C00555000
2024-08-23 13:00:00+00:00,34,22,620773256,11.0,11.0,11.0,11.0,1,MDY   250117C00600000
2024-08-23 13:00:00+00:00,34,35,620773256,11.0,11.0,11.0,11.0,4,MDY   250117C00600000
2024-08-23 13:00:00+00:00,34,29,637543798,10.5,10.5,10.5,10.5,2,MDY   240920C00560000
2024-08-23 14:00:00+00:00,34,36,637556817,19.95,20.55,19.95,20.55,4,MDY   241018C00555000
2024-08-23 14:00:00+00:00,34,22,637556796,13.1,13.1,13.1,13.1,23,MDY   241018P00560000
2024-08-23 14:00:00+00:00,34,35,637540032,5.9,5.9,4.88,5.3,200,MDY   240920P00550000
2024-08-23 14:00:00+00:00,34,22,637551381,3.3,3.3,3.3,3.3,80,MDY   240920P00540000
2024-08-23 14:00:00+00:00,34,22,637540032,5.45,5.45,5.45,5.45,80,MDY   240920P00550000
2024-08-23 14:00:00+00:00,34,36,637537879,13.7,13.7,13.7,13.7,1,MDY   241018C00570000
2024-08-23 14:00:00+00:00,34,21,637556796,13.1,13.1,13.1,13.1,5,MDY   241018P00560000
2024-08-23 14:00:00+00:00,34,31,637556796,13.5,13.5,13.5,13.5,1,MDY   241018P00560000
2024-08-23 14:00:00+00:00,34,37,637536268,9.9,9.9,9.9,9.9,1,MDY   240920C00565000
2024-08-23 14:00:00+00:00,34,26,637544299,53.0,53.0,53.0,53.0,1,MDY   241220C00525000
2024-08-23 14:00:00+00:00,34,29,637556796,13.4,13.5,13.4,13.4,11,MDY   241018P00560000
2024-08-23 14:00:00+00:00,34,36,637556796,13.5,13.5,13.5,13.5,1,MDY   241018P00560000
2024-08-23 14:00:00+00:00,34,21,637539484,16.0,16.0,16.0,16.0,1,MDY   241018C00565000
2024-08-23 14:00:00+00:00,34,29,637539484,16.0,16.0,16.0,16.0,1,MDY   241018C00565000
2024-08-23 14:00:00+00:00,34,20,637551381,3.33,3.33,3.26,3.26,120,MDY   240920P00540000
2024-08-23 14:00:00+00:00,34,35,637551381,3.75,3.75,2.73,3.15,200,MDY   240920P00540000
2024-08-23 14:00:00+00:00,34,20,637540032,5.48,5.48,5.41,5.41,120,MDY   240920P00550000
2024-08-23 15:00:00+00:00,34,29,620770399,21.55,21.55,21.55,21.55,1,MDY   250117C00580000
2024-08-23 15:00:00+00:00,34,29,620773228,33.15,33.15,33.15,33.15,1,MDY   250117C00560000
2024-08-23 15:00:00+00:00,34,29,637540066,10.3,10.3,10.2,10.2,6,MDY   240920P00565000
2024-08-23 15:00:00+00:00,34,36,637547644,3.42,3.42,3.42,3.42,3,MDY   240920P00545000
2024-08-23 15:00:00+00:00,34,26,637540364,37.3,37.3,37.3,37.3,1,MDY   241220C00550000
2024-08-23 15:00:00+00:00,34,20,637551381,3.41,3.41,3.34,3.34,120,MDY   240920P00540000
2024-08-23 15:00:00+00:00,34,27,637551728,44.94,44.94,44.94,44.94,1,MDY   241220C00540000
2024-08-23 15:00:00+00:00,34,26,637540059,2.33,2.33,2.33,2.33,2,MDY   240920P00535000
2024-08-23 15:00:00+00:00,34,26,637547644,3.69,3.69,3.69,3.69,1,MDY   240920P00545000
2024-08-23 15:00:00+00:00,34,20,637540032,5.56,5.56,5.49,5.49,120,MDY   240920P00550000
2024-08-23 15:00:00+00:00,34,20,637555160,10.1,10.1,10.1,10.1,1,MDY   240920C00570000
2024-08-23 15:00:00+00:00,34,26,637535699,5.43,5.43,5.43,5.43,2,MDY   241018P00535000
2024-08-23 15:00:00+00:00,34,22,637551381,3.31,3.31,3.3,3.3,160,MDY   240920P00540000
