ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2024-08-23 13:00:00+00:00,34,22,369101329,0.25,0.25,0.25,0.25,2,DJX   240920C00430000
2024-08-23 13:00:00+00:00,34,22,352331336,10.55,10.55,10.55,10.55,1,DJX   241115P00415000
2024-08-23 13:00:00+00:00,34,22,369105005,1.62,1.62,1.62,1.62,1,DJX   241220P00345000
2024-08-23 13:00:00+00:00,34,22,352326944,2.06,2.06,2.06,2.06,1,DJX   250321P00325000
2024-08-23 13:00:00+00:00,34,22,369114176,0.93,0.93,0.93,0.93,2,DJX   240920P00385000
2024-08-23 13:00:00+00:00,34,34,369106819,11.85,11.85,11.85,11.85,1,DJX   241018P00405000
2024-08-23 13:00:00+00:00,34,34,369106856,4.8,4.8,4.8,4.8,1,DJX   241018P00390000
2024-08-23 13:00:00+00:00,34,22,369124266,2.4,2.4,2.4,2.4,1,DJX   240830C00410000
2024-08-23 14:00:00+00:00,34,22,369101329,0.27,0.27,0.27,0.27,49,DJX   240920C00430000
2024-08-23 14:00:00+00:00,34,22,369101352,0.86,0.86,0.86,0.86,1,DJX   240920P00390000
2024-08-23 14:00:00+00:00,34,34,369111063,1.23,1.23,1.23,1.23,1,DJX   241018P00380000
2024-08-23 14:00:00+00:00,34,22,369109918,4.06,5.15,4.06,5.15,2,DJX   240920P00410000
2024-08-23 14:00:00+00:00,34,34,369114176,0.71,0.71,0.71,0.71,9,DJX   240920P00385000
2024-08-23 14:00:00+00:00,34,22,369122649,1.6,1.6,1.6,1.6,2,DJX   240920C00420000
2024-08-23 14:00:00+00:00,34,22,369105594,5.7,6.38,5.7,5.75,6,DJX   240920C00410000
2024-08-23 14:00:00+00:00,34,22,369106863,13.0,13.0,13.0,13.0,2,DJX   241018C00405000
2024-08-23 14:00:00+00:00,34,22,369122564,1.79,1.93,1.79,1.93,3,DJX   240920P00400000
2024-08-23 14:00:00+00:00,34,34,369105594,5.4,5.4,5.4,5.4,1,DJX   240920C00410000
2024-08-23 15:00:00+00:00,34,22,352332932,5.0,5.0,5.0,5.0,2,DJX   241115C00425000
